sequence_number,batch,analysis_id,kit_id,lab_id,project,sequence_type,sequence_version,kneaddata_fastq,stat_csv,metaphlan_file,pathway_abun,ec_abun,genes_abun,ko_abun,raw_data_forward,raw_data_reverse
B050AMD1265,MGG2_50,ZRUDCQY6NSRS7HZN,VZNS-D6ZP-WF6Y,AMD1265,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/kneaddata/B050AMD1265.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/kneaddata/B050AMD1265_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/metaphlan/B050AMD1265_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/humann/B050AMD1265_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/humann/B050AMD1265_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/humann/B050AMD1265_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1265/humann/B050AMD1265_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1265_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1265_2.fastq.gz
B050AMD1268,MGG2_50,N8A4QNW83RB7GTVH,K7YR-DRMT-D5S5,AMD1268,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/kneaddata/B050AMD1268.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/kneaddata/B050AMD1268_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/metaphlan/B050AMD1268_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/humann/B050AMD1268_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/humann/B050AMD1268_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/humann/B050AMD1268_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1268/humann/B050AMD1268_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1268_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1268_2.fastq.gz
B050AMD1268,MGG2_50,N8A4QNW83RB7GTVH,K7YR-DRMT-D5S5,AMD1268,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/kneaddata/B050AMD1268.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/kneaddata/B050AMD1268_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/metaphlan/B050AMD1268_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/humann/B050AMD1268_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/humann/B050AMD1268_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/humann/B050AMD1268_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1268/humann/B050AMD1268_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1268_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1268_2.fastq.gz
B050AMD1271,MGG2_50,SVKH845EY4U345RA,ATQA-WYHU-3JRQ,AMD1271,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/kneaddata/B050AMD1271.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/kneaddata/B050AMD1271_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/metaphlan/B050AMD1271_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/humann/B050AMD1271_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/humann/B050AMD1271_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/humann/B050AMD1271_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1271/humann/B050AMD1271_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1271_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1271_2.fastq.gz
B050AMD1272,MGG2_50,S4XR2N4UGCJHES4Q,MX9C-PC6U-UAS5,AMD1272,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/kneaddata/B050AMD1272.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/kneaddata/B050AMD1272_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/metaphlan/B050AMD1272_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/humann/B050AMD1272_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/humann/B050AMD1272_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/humann/B050AMD1272_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1272/humann/B050AMD1272_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1272_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1272_2.fastq.gz
B050AMD1278,MGG2_50,YH24T5QXCU5JTXPK,DQP8-4RXY-JS3E,AMD1278,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/kneaddata/B050AMD1278.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/kneaddata/B050AMD1278_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/metaphlan/B050AMD1278_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/humann/B050AMD1278_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/humann/B050AMD1278_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/humann/B050AMD1278_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1278/humann/B050AMD1278_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1278_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1278_2.fastq.gz
B050AMD1280,MGG2_50,V3PYDVAYA56H88X5,VBDS-4CVQ-64WZ,AMD1280,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/kneaddata/B050AMD1280.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/kneaddata/B050AMD1280_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/metaphlan/B050AMD1280_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/humann/B050AMD1280_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/humann/B050AMD1280_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/humann/B050AMD1280_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1280/humann/B050AMD1280_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1280_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1280_2.fastq.gz
B050AMD1283,MGG2_50,NU5KVFJA9YMVS6NG,YTV2-VBUN-KEAC,AMD1283,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/kneaddata/B050AMD1283.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/kneaddata/B050AMD1283_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/metaphlan/B050AMD1283_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/humann/B050AMD1283_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/humann/B050AMD1283_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/humann/B050AMD1283_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1283/humann/B050AMD1283_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1283_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1283_2.fastq.gz
B050AMD1285,MGG2_50,PHG8NRD5JPR96WR9,94EC-PSNG-NUT8,AMD1285,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/kneaddata/B050AMD1285.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/kneaddata/B050AMD1285_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/metaphlan/B050AMD1285_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/humann/B050AMD1285_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/humann/B050AMD1285_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/humann/B050AMD1285_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1285/humann/B050AMD1285_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1285_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1285_2.fastq.gz
B050AMD1287,MGG2_50,QQFHVS5KM7A5R2ZK,KTEW-7NRT-CK4T,AMD1287,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/kneaddata/B050AMD1287.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/kneaddata/B050AMD1287_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/metaphlan/B050AMD1287_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/humann/B050AMD1287_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/humann/B050AMD1287_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/humann/B050AMD1287_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1287/humann/B050AMD1287_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1287_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1287_2.fastq.gz
B050AMD1288,MGG2_50,A4WY69WVAN42K3SQ,QSBS-YAFE-A5DK,AMD1288,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/kneaddata/B050AMD1288.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/kneaddata/B050AMD1288_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/metaphlan/B050AMD1288_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/humann/B050AMD1288_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/humann/B050AMD1288_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/humann/B050AMD1288_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1288/humann/B050AMD1288_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1288_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1288_2.fastq.gz
B050AMD1288,MGG2_50,A4WY69WVAN42K3SQ,QSBS-YAFE-A5DK,AMD1288,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/kneaddata/B050AMD1288.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/kneaddata/B050AMD1288_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/metaphlan/B050AMD1288_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/humann/B050AMD1288_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/humann/B050AMD1288_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/humann/B050AMD1288_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1288/humann/B050AMD1288_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1288_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1288_2.fastq.gz
B050AMD1289,MGG2_50,VP3YUVHQ77997G4W,652F-JX6F-KP9H,AMD1289,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/kneaddata/B050AMD1289.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/kneaddata/B050AMD1289_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/metaphlan/B050AMD1289_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/humann/B050AMD1289_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/humann/B050AMD1289_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/humann/B050AMD1289_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1289/humann/B050AMD1289_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1289_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1289_2.fastq.gz
B050AMD1289,MGG2_50,VP3YUVHQ77997G4W,652F-JX6F-KP9H,AMD1289,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/kneaddata/B050AMD1289.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/kneaddata/B050AMD1289_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/metaphlan/B050AMD1289_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/humann/B050AMD1289_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/humann/B050AMD1289_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/humann/B050AMD1289_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_50-40samples/B050AMD1289/humann/B050AMD1289_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1289_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1289_2.fastq.gz
B050AMD1290,MGG2_50,ZMP4B9PX387J7BKG,XBG9-8D65-CCWK,AMD1290,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/kneaddata/B050AMD1290.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/kneaddata/B050AMD1290_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/metaphlan/B050AMD1290_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/humann/B050AMD1290_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/humann/B050AMD1290_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/humann/B050AMD1290_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1290/humann/B050AMD1290_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1290_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1290_2.fastq.gz
B050AMD1291,MGG2_50,FERP5VS24QKPUAFM,8679-KMW9-K2KJ,AMD1291,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/kneaddata/B050AMD1291.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/kneaddata/B050AMD1291_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/metaphlan/B050AMD1291_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/humann/B050AMD1291_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/humann/B050AMD1291_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/humann/B050AMD1291_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1291/humann/B050AMD1291_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1291_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1291_2.fastq.gz
B050AMD1292,MGG2_50,BG9HCVCHPAHWJ4EV,77UH-WKWB-KX99,AMD1292,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/kneaddata/B050AMD1292.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/kneaddata/B050AMD1292_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/metaphlan/B050AMD1292_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/humann/B050AMD1292_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/humann/B050AMD1292_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/humann/B050AMD1292_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1292/humann/B050AMD1292_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1292_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1292_2.fastq.gz
B050AMD1294,MGG2_50,NX5PAK9Q42T55XFA,WEC2-EZS5-XRR7,AMD1294,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/kneaddata/B050AMD1294.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/kneaddata/B050AMD1294_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/metaphlan/B050AMD1294_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/humann/B050AMD1294_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/humann/B050AMD1294_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/humann/B050AMD1294_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1294/humann/B050AMD1294_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1294_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1294_2.fastq.gz
B050AMD1295,MGG2_50,QNZHD4TR5YGPF5AX,RH2P-BMYD-KBCQ,AMD1295,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/kneaddata/B050AMD1295.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/kneaddata/B050AMD1295_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/metaphlan/B050AMD1295_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/humann/B050AMD1295_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/humann/B050AMD1295_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/humann/B050AMD1295_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1295/humann/B050AMD1295_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1295_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1295_2.fastq.gz
B050AMD1296,MGG2_50,ZA5MJ32YCVZN3SW7,XX2B-T6DU-F42Z,AMD1296,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/kneaddata/B050AMD1296.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/kneaddata/B050AMD1296_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/metaphlan/B050AMD1296_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/humann/B050AMD1296_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/humann/B050AMD1296_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/humann/B050AMD1296_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1296/humann/B050AMD1296_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1296_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1296_2.fastq.gz
B050AMD1297,MGG2_50,V6VKSGMX9N96UJNN,NEX5-9K7A-PDBY,AMD1297,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/kneaddata/B050AMD1297.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/kneaddata/B050AMD1297_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/metaphlan/B050AMD1297_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/humann/B050AMD1297_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/humann/B050AMD1297_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/humann/B050AMD1297_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_50/B050AMD1297/humann/B050AMD1297_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1297_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_50-40samples/B050AMD1297_2.fastq.gz
B051AMD0296,MGG2_51,PCAU95PNVJKXRZ8B,NCEU-PWR4-EHSV,AMD0296,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/kneaddata/B051AMD0296.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/kneaddata/B051AMD0296_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/metaphlan/B051AMD0296_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/humann/B051AMD0296_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/humann/B051AMD0296_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/humann/B051AMD0296_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_51/B051AMD0296/humann/B051AMD0296_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/Batch_MGG2_51-31samples/B051AMD0296_1.fastq.gz,s3://amili-analysis-lab/Macrogen/Batch_MGG2_51-31samples/B051AMD0296_2.fastq.gz
